Date,Time,InternalTemperature,ExternalTemperature
2022-07-01,2022-07-01 14:00:00.000000000,91.58124137931036,76.05241379310348
2022-07-02,2022-07-02 14:00:00.000000000,91.98593103448275,76.14344827586208
2022-07-03,2022-07-03 08:00:00.000000000,93.38,68.0
2022-07-04,2022-07-04 14:42:30.000000000,91.47734375,76.50625000000001
2022-07-05,2022-07-05 15:35:15.463917568,91.68948453608246,77.31340206185565
2022-07-06,2022-07-06 14:00:00.000000000,90.60179310344827,77.27999999999996
2022-07-07,2022-07-07 15:34:53.939394048,91.9290909090909,78.15151515151514
2022-07-08,2022-07-08 14:00:00.000000000,91.14675862068965,75.9268965517241
2022-07-09,2022-07-09 14:00:00.000000000,88.47531034482759,70.43724137931035
2022-07-10,2022-07-10 14:00:00.000000000,85.39668965517242,62.0372413793103
2022-07-11,2022-07-11 14:00:00.000000000,88.53986206896552,67.50689655172413
2022-07-12,2022-07-12 14:01:50.416666624,90.9375,75.7916666666667
2022-07-13,2022-07-13 14:00:00.000000000,90.59186206896551,72.551724137931
2022-07-14,2022-07-14 14:00:00.000000000,87.61131034482759,72.40275862068958
2022-07-15,2022-07-15 14:00:00.000000000,88.28537931034482,75.67379310344826
2022-07-16,2022-07-16 14:00:00.000000000,90.42179310344828,76.08758620689653
2022-07-17,2022-07-17 14:00:00.000000000,90.83641379310345,74.7275862068966
2022-07-18,2022-07-18 14:00:00.000000000,90.31131034482758,75.94137931034481
2022-07-19,2022-07-19 14:00:00.000000000,90.53351724137931,73.30482758620688
2022-07-20,2022-07-20 14:00:00.000000000,90.72965517241379,74.93931034482758
2022-07-21,2022-07-21 14:00:00.000000000,91.65448275862069,73.49379310344827
2022-07-22,2022-07-22 14:00:00.000000000,92.6103448275862,79.72620689655173
2022-07-23,2022-07-23 14:00:00.000000000,91.25475862068966,78.02689655172412
2022-07-24,2022-07-24 14:00:00.000000000,89.38275862068966,74.76344827586203
2022-07-25,2022-07-25 14:00:00.000000000,89.65958620689655,71.47862068965519
2022-07-26,2022-07-26 12:10:00.000000000,89.84237623762377,75.1871287128713
2022-07-27,2022-07-27 14:00:00.000000000,90.52234482758621,77.05310344827585
2022-07-28,2022-07-28 14:00:00.000000000,91.04993103448275,75.16482758620693
